publisher_name,publisher_id
NDA Productions,343
Data East,344
Time Warner Interactive,345
Gainax Network Systems,346
Daito,347
O3 Entertainment,348
Gameloft,349
Xicat Interactive,350
Simon & Schuster Interactive,351
Valcon Games,352
PopTop Software,353
TOHO,354
HMH Interactive,355
5pb,356
Cave,357
CDV Software Entertainment,358
Microids,359
PM Studios,360
Paon,361
Micro Cabin,362
GameTek,363
Benesse,364
Type-Moon,365
Enjoy Gaming ltd.,366
Asmik Corp,367
Interplay Productions,368
Asmik Ace Entertainment,369
inXile Entertainment,370
Image Epoch,371
Phantom EFX,372
Evolved Games,373
responDESIGN,374
Culture Publishers,375
Griffin International,376
Hackberry,377
Hearty Robin,378
Nippon Amuse,379
Origin Systems,380
Seventh Chord,381
Mitsui,382
Milestone,383
Abylight,384
Flight-Plan,385
Glams,386
Locus,387
Warp,388
Daedalic Entertainment,389
Alternative Software,390
Myelin Media,391
Mercury Games,392
Irem Software Engineering,393
Sunrise Interactive,394
Elite,395
Evolution Games,396
Tivola,397
Global A Entertainment,398
Edia,399
Athena,400
Aria,401
Gamecock,402
Tommo,403
Altron,404
Happinet,405
iWin,406
Media Works,407
Fortyfive,408
Revolution Software,409
Imax,410
Crimson Cow,411
10TACLE Studios,412
Groove Games,413
Pack-In-Video,414
Insomniac Games,415
Ascaron Entertainment GmbH,416
Asgard,417
Ecole,418
Yumedia,419
Phenomedia,420
HAL Laboratory,421
Grand Prix Games,422
DigiCube,423
Creative Core,424
Kaga Create,425
WayForward Technologies,426
LSP Games,427
ASCII Media Works,428
Coconuts Japan,429
Arika,430
Ertain,431
Marvel Entertainment,432
Prototype,433
TopWare Interactive,434
Phantagram,435
1C Company,436
The Learning Company,437
TechnoSoft,438
Vap,439
Misawa,440
Tradewest,441
Team17 Software,442
Yeti,443
Pow,444
Navarre Corp,445
MediaQuest,446
Max Five,447
Comfort,448
Monte Christo Multimedia,449
Pony Canyon,450
Riverhillsoft,451
Summitsoft,452
Milestone S.r.l,453
Playmore,454
MLB.com,455
Kool Kizz,456
Flashpoint Games,457
49Games,458
Legacy Interactive,459
Alawar Entertainment,460
CyberFront,461
Cloud Imperium Games Corporation,462
Societa,463
Virtual Play Games,464
Interchannel,465
Sonnet,466
Experience Inc.,467
Zenrin,468
Iceberg Interactive,469
Ivolgamus,470
2D Boy,471
MC2 Entertainment,472
Kando Games,473
Just Flight,474
Office Create,475
Mamba Games,476
Fields,477
Princess Soft,478
Maximum Family Games,479
Berkeley,480
Fuji,481
Dusenberry Martin Racing,482
imageepoch Inc.,483
Big Fish Games,484
Her Interactive,485
Kamui,486
ASK,487
Headup Games,488
KSS,489
Cygames,490
KID,491
Quinrose,492
Sunflowers,493
dramatic create,494
TGL,495
Encore,496
Extreme Entertainment Group,497
Intergrow,498
G.Rev,499
Sweets,500
Kokopeli Digital Studios,501
Number None,502
Nexon,503
id Software,504
BushiRoad,505
Tryfirst,506
Strategy First,507
7G//AMES,508
GN Software,509
Yuke's,510
Easy Interactive,511
Licensed 4U,512
FuRyu Corporation,513
Lexicon Entertainment,514
Paon Corporation,515
Kids Station,516
GOA,517
Graphsim Entertainment,518
King Records,519
Introversion Software,520
Minato Station,521
Devolver Digital,522
Blue Byte,523
Gaga,524
Yamasa Entertainment,525
Plenty,526
Views,527
fonfun,528
NetRevo,529
Codemasters Online,530
Quintet,531
Phoenix Games,532
Dorart,533
Marvelous Games,534
Focus Multimedia,535
Imageworks,536
Karin Entertainment,537
Aerosoft,538
Technos Japan Corporation,539
Gakken,540
Mirai Shounen,541
Datam Polystar,542
Saurus,543
HuneX,544
Revolution (Japan),545
Giza10,546
Visco,547
Alvion,548
Mycom,549
Giga,550
Warashi,551
System Soft,552
Sold Out,553
Lighthouse Interactive,554
Masque Publishing,555
RED Entertainment,556
Michaelsoft,557
Media Entertainment,558
New World Computing,559
Genterprise,560
"Interworks Unlimited, Inc.",561
Boost On,562
Stainless Games,563
EON Digital Entertainment,564
Epic Games,565
Naxat Soft,566
Ascaron Entertainment,567
Piacci,568
Nitroplus,569
Paradox Development,570
Otomate,571
Ongakukan,572
Commseed,573
Inti Creates,574
Takuyo,575
Interchannel-Holon,576
Rain Games,577
UIG Entertainment,578
